Which of the music on the epic 1982 album “Thriller” was recorded by members of what 80s group?	TOTO	Which of these legendary baseball players had a dramatic end to his career,famously hitting a home run at his last at-bat?	TED WILLIAMS	Which of these great painters is commonly known by the name of his home town, not by his birth name?	CARAVAGGIO
A rare example of a word that rhymes with orange, Blorenge is a what?	0	In a campy “Dynasty” cliffhanger,several main characters are gunned down during Amanda’s wedding to a prince from where?	MOLDAVIA	Ron Wayne, who would be a billionaire today had he not sold his 10% stake for $800 back in 1976, co-founded what company?	APPLE
In one of the shortest Oscar speeches on record, what stunned actor merely said, “It’s my privilege, thank you.”	JOE PESCI	The Tesla Roadster,the world’s first electric sports car,is named for Nikola Tesla,the inventor of the what?	ALTERNATING CURRENT MOTOR	In 1968, what overzealous airline began taking reservations for lunar flights that were set to take off in 2000?	PAN AM
Dim sum, a meal of varied dishes originating in Chinese, translates loosely into English as “a little bit of” what?	HEART	Murdered in 1985,zoologist Dian Fossey was buried with more than a dozen of her gorillas in what country?	RWANDA	Satisfaction guaranteed or your money back was first advertised in the 1870s by what company?	MONTGOMERY WARD
Baby Ruth’s creator claimed his candy bar was named not for a ball player, but for what President’s daughter?	GROVER CLEVELAND	Published in 1936,the first issue of Life magazine had a Margaret Bourke-White photo of a what on its cover?	DAM	What legendary entertainer was buried with $1,008 so he’d always have enough money to play cards?	GEORGE BURNS
Henry James famously remarked that “the two most beautiful words in the English language” are what?	SUMMER AFTERNOON	Though born in the U.S.,which of these film directors is an English Baron?	CHRISTOPHER GUEST	In Edward Hopper’s painting “Nighthawks,” a sign atop the diner advertises what cigar brand?	PHILLIES
While the winner of the Kentucky derby is draped in red roses, the Belmont stakes winner receives a garland of what?	WHITE CARNATIONS	While the first music video ever to air on MTV was by The Buggles,the second was by whom?	PAT BENATAR	When England adopted the new Gregorian calendar in 1752,people complained that they “lost” how many days?	11 *CORRECT*
The inscription “Pass and Stow,” appears on which of these US landmarks?	LIBERTY BELL	To complete the Ironman Triathlon,one must swim,bike and run about how many miles in total?	140 *CORRECT*	Though his real name is Riley B. King, the initials in guitarist B.B. King’s stage name stand for what?	BLUE BOYS
The “Pua alohalo” is Hawaii’s official state what?	FLOWER	Which of these medical conditions is also known as “telangiectasia”?	SPIDER VEINS	Often referenced in rap songs, what alcoholic beverage was originally created in 1876 for Czar Alexander II?	CRISTAL
What song’s famous melody was written in 1893 by sisters Patty and Mildred Hill?	HAPPY BIRTHDAY TO YOU	In 2008, what one word did Google add to its sparse home page in order to conform with California law?	PRIVACY	In the D.H. Lawrence novel “Lady Chatterley’s Lover,” who is Lady Chatterley’s lover?	A GAMEKEEPER
Under President Ford, 34 year old Dick Cheney became the youngest man to hold what position?	WHITE HOUSE CHIEF OF STAFF	Of these famous children’s book authors, who was the only one to have had children?	ROALD DAHL	Which of these countries’ people usually eat with fork and spoon, only using chopsticks for noodles?	THAILAND
