Juliet 'i melt with you' was which band's signature hit released on their 'after the snow' album in 1982	Modern english	The Norse god of light & peace	Balder	What is the more scientific name for quicksilver?	Mercury
"Honolulu" means _____________	Sheltered harbor	What was the first day of the Roman month called	The calends	What did Alexander Graham Bell muffle to keep it from interrupting his work	His telephone the telephone telephone
How many gallons of fuel does a jumbo jet use during take off?	Four thousand	What is the unit of currency in Laos?	Kip	What is a violoncello usually called?	Cello
In the game of cricket which bird name means scoring no runs 	Duck 	5:45 pm In military time is how many hours	1745	What sequence is this the start of: 1 4 11 20 31 44 61 100	Octal squares
With which singer did Westlife record a version of Against all Odds in 2000?	Mariah Carey	In what sport are bacon hamburgers chips prunes spuds terms	Mountain Biking injury / damage	According to the Talmud, who was the first wife of Adam	Lilith
In 1951 Howard Hawks Produced The Thing. Who Directed The 1982 remake, Starring Kurt Russell 	John Carpenter 	Who was Barney Rubble's best friend?	Fred Flintstone	Which Is The Most Sensitive Of The Senses 	Smell 
The Paris stock exchange	Bourse	Alfred Schneider became famous as who	Lenny Bruce	What Is The Original Name For Halloween 	Samhain (pron) sow-en 
What amendment to the u.s. constitution ended prohibition 	The twenty first 	Burn to stop the flow of blood	Cauterize	What brand name did Galvin Manufacturing give to its line of radios for motorists	Motorola
What game of chance was originally called 'Beano'	Bingo	Who did a version of 'One Bourbon, One Scotch, One Beer' on his 1977 debut album?	George Thorogood	What does the acronym NIMBY mean	Not in my back yard
Where Did Napoleon Bonaparte Die In Exile? 	St Helena 	The United States would fit into the continent of ____________ three and a half times.	Africa	What do the auricularis muscles move?	Ears
The eggs of this sturgeon are the preferred form of caviar.	Beluga	What links Ada - Lisp - Algol	Program Languages	What kind of dog was "rin tin tin"	German shepherd
What is the motto of the three muskateers	All for one & one for all	The Ionian and Cyclades are island groups of which country?	Greece	What links Sword, Square, Floral and Barn	Types of Dance
What is the flower that stands for: a heart ignorant of love	White rosebud	What Was William Bonney Better Known As 	Billy The Kid 	Of which fruit is "pearmain" a variety	Apple
What nationality was the sculpture Brancusi	Romanian	What Is The Most Westerly European Capital City 	Lisbon In Portugal / Reykjavic In Iceland, It's Complex But I Think Iceland Has It You Decide 	What tragedy occurred two years to the day after the federal raid on the branch Davidian complex in Waco	Oklahoma city bombing
Charles Darrow based his game upon the 1904 "The Landlord's Game".	Monopoly	Melita in the Bible where Paul was shipwrecked is where today	Malta	 There are about 5,000 species of __________ known. Only about half of them build reefs.	Coral
Who sang "I Want My MTV" on the Dire Straits song "Money For Nothing"?	Sting	Remove forcibly or exile to another country	Deport	For which film did James Cagney win an oscar	Yankee doodle dandy
What country did poinsettias originally come from? (Mexico,Us, Spain ,Brazil) 	Mexico 	The seventeen year locust is also know as a _____	Cicada	Which brand of guitar is played by Jimmy Page, Slash, and Brian May?	Gibson Les Paul
Who Starred As Cole Porter In The 1945 Film Night & Day	Cary Grant	The Chinese year cycle starts with 1st to ask Buddha which	Rat	Which group sang the song "All The Small Things"?	Blink 182
Before Hitting The Big Time As A Singer & Tv Personality What Was "Perry Como's " Profession	A Barber / Hair Dresser	Countess Roza Marie Lubienski Is More Commonly Known As Who	Rula Lenska	Gymnophobia is the fear of __________.	Naked bodies
What was finally a top ten hit for Ce Ce Peniston on its 1992 Re-Release	Finally	Name the variety of brassica , whose thickened stem, resembling a turnip, is eaten as a vegetable	Kohlrabi	American rocket engineer, born in Worcester, Massachusetts, & educated at Worcester Polytechnic Institute & Clark University	Goddard
Seventeen thousand how many camels carried the 117,000 volumes of abdul kassem ismael's library	400	Which is the smallest independent country	Vatican city	What is the fear of choking or being smothered known as	Pnigophobia
Under Michigan State law who are officially classed mechanics	Dentists	What is the capital of Croatia? 	Zagreb 	What is a group of this animal called: Ant	Colony army
Medieval monks invented this stopper, necessary for champagne	Cork	This 1974 film started a run of nostalgia culminating in the TV series "Happy Days".	American Graffiti	Who went to sea with silver buckles at his knees	Bobby shaftoe
In the body luteinizing hormone is produced by what gland	Pituitary	To where do Muslims make pilgrimage?	Mecca	The celtic queen, Boudicca (Boadicea), allegedly took poison to prevent torture by the Romans after they defeated her rebel forces in battle. Where is she thought to be buried	Kings cross station
What colour is chablis? 	White 	Who wrote the book "Darker Than Amber"	John macdonald	What sport can you play at Indonesia's Senayan Statium	Badminton
Football: The Denver ____?	Broncos	At The Oscars Ceremony In March 2002 Which Film Won The Award For Best Picture	A Beautiful Mind	Betsy ross is the only real person to ever have been the head of a ______	Pez dispenser
What are the stars in traditional Cornish Star Gazey pie	Pilchards eyes	Who rode naked through the streets of Coventry	Lady godiva	What Is The Most Common Blood Group 	O 
What is raku	Japanese pottery	Who won the Bahrain Grand Prix at weekend? 	Fernando Alonso 	Maclaine how many letters (maximum) can a thoroughbred horse can have in its name	Fourteen
Proverbially it was a bold man who  first ate what	An Oyster	Which Flemish painter produced Adoration of the Kings	Brueghel	How many stars are on the paramount film studio logo	22
Where is the oldest distillery in the world? 	The Old Bushmills, Cty Antrim 	In what Dickens novel does Alfred Jingle appear	The Pickwick Papers	Where would you find Puck Miranda and Ariel	Circling Uranus
What countries days include Fire day, Water day and wood day	Japan Tue Wed Thu	What is the Capital of: Cayman Islands	George town	Which instrument did George Harrison of the Beatles play?	Lead guitar
